twa/tws,4,6,8,10,12,14,16,20
0,0,0,0,0,0,0,0,0
30,2.9,3.7,4.2,4.5,4.8,5.0,5.1,5.2
40,3.6,4.5,5.2,5.7,5.9,6.1,6.2,6.3
45,3.9,4.9,5.6,6.0,6.3,6.5,6.6,6.7
52,4.1,5.2,5.9,6.4,6.7,6.9,7.0,7.1
60,4.3,5.4,6.1,6.6,7.0,7.2,7.3,7.4
70,4.4,5.5,6.2,6.8,7.2,7.4,7.5,7.6
80,4.4,5.5,6.3,6.9,7.3,7.5,7.6,7.7
90,4.3,5.4,6.2,6.9,7.3,7.6,7.8,8.1
100,4.1,5.2,6.0,6.7,7.2,7.6,8.0,8.4
110,3.9,4.9,5.8,6.5,7.1,7.5,7.9,8.6
120,3.6,4.6,5.5,6.3,6.9,7.4,7.8,8.7
130,3.3,4.3,5.2,6.0,6.6,7.2,7.6,8.6
140,3.0,4.0,4.9,5.7,6.3,6.9,7.3,8.3
150,2.7,3.7,4.5,5.3,5.9,6.5,7.0,7.9
160,2.5,3.4,4.2,4.9,5.5,6.0,6.6,7.5
170,2.4,3.2,4.0,4.6,5.1,5.7,6.2,7.1
180,2.3,3.1,3.9,4.5,5.0,5.5,6.0,6.9
