twa/tws,4,6,8,10,12,14,16,20
0,0,0,0,0,0,0,0,0
30,2.7,3.4,3.9,4.3,4.6,4.8,4.9,5.0
40,3.3,4.2,4.9,5.4,5.6,5.8,5.9,6.0
45,3.6,4.6,5.3,5.7,6.0,6.2,6.3,6.4
52,3.8,4.9,5.6,6.1,6.4,6.6,6.7,6.8
60,4.0,5.1,5.8,6.3,6.7,6.9,7.0,7.1
70,4.1,5.2,5.9,6.5,6.9,7.1,7.2,7.3
80,4.1,5.2,6.0,6.6,7.0,7.2,7.3,7.4
90,4.0,5.1,5.9,6.6,7.0,7.3,7.5,7.8
100,3.8,4.9,5.7,6.4,6.9,7.3,7.7,8.1
110,3.6,4.6,5.5,6.2,6.8,7.2,7.6,8.3
120,3.3,4.3,5.2,6.0,6.6,7.1,7.5,8.4
130,3.0,4.0,4.9,5.7,6.3,6.9,7.3,8.3
140,2.7,3.7,4.6,5.4,6.0,6.6,7.0,8.0
150,2.4,3.4,4.2,5.0,5.6,6.2,6.7,7.6
160,2.2,3.1,3.9,4.6,5.2,5.7,6.3,7.2
170,2.1,2.9,3.7,4.3,4.8,5.4,5.9,6.8
180,2.0,2.8,3.6,4.2,4.7,5.2,5.7,6.6
